address,lat,lon
"Тетрис, Vegan Shop, проспект Ленина, 119",53.37593,58.991613
"Лавка здоровья, проспект Карла Маркса, 98",53.407383,58.977614
"Гостиный двор, Organic Shop, проспект Карла Маркса, 153",53.378671,58.981549
"Здоровое питание, ул. Жукова, 17",53.355293,58.970688
"Vegan Shop, проспект Карла Маркса, 74",53.41501,58.976761
"Vegan Shop, ул. Зеленый Лог, 30",53.353353,58.975315
"Jazz Mall, Vegan Shop, ул. Герцена, 6",53.430389,58.973231
